cat, cats
rat, rats
mouse, mice
cell culture, cell cultures
deformation in the space-time continuum, deformations in the space-time continuum
patient, patients
subject, subjects
human, humans
planet, planets
virus, viruses
gene, genes
insect, insects
substrate, substrates
child, children
closed system, closed systems
system, systems
theory, theories
monkey, monkeys
animal, animals
primate, primates
lobster, lobsters
mammal, mammals
black hole, black holes
naked mole rat, naked mole rats
retinoblastoma, retinoblastomas
C. elegans, C. elegans
